Tag,cX,cY
34,2960.419189453125,2650.9697265625
21,2886.150390625,2437.4287109375
15,2703.391357421875,2332.738525390625
5,3253.7451171875,1859.790283203125
43,3132.11181640625,1528.311279296875
4,2867.126220703125,1433.83837890625
0,1604.094482421875,874.757080078125
47,3485.9892578125,858.3069458007812
28,2035.741943359375,754.45068359375
30,892.6856689453125,361.835693359375
42,321.013916015625,280.61724853515625
34,2960.677734375,2650.97216796875
21,2886.65234375,2437.18896484375
15,2703.423828125,2332.70263671875
5,3253.062255859375,1859.5029296875
43,3156.415771484375,1522.6641845703125
3,610.5858154296875,1488.548828125
23,2248.888671875,1247.7838134765625
0,1603.926513671875,874.87744140625
36,269.6766967773437,857.9549560546875
47,3492.053466796875,831.8268432617188
28,2035.4102783203125,754.340576171875
30,887.3360595703125,362.498046875
42,321.0314025878906,280.690185546875
34,2960.51318359375,2653.30908203125
21,2886.438232421875,2437.4580078125
15,2703.452880859375,2332.679443359375
5,3253.66796875,1859.4854736328125
20,462.4394226074219,1027.577392578125
0,1603.926513671875,874.87744140625
36,273.7982177734375,857.267333984375
28,2035.357421875,754.657470703125
30,883.4959716796875,362.7716369628906
42,321.0314025878906,280.690185546875
34,2960.41064453125,2650.9609375
21,2885.76953125,2437.41455078125
15,2703.4658203125,2332.677734375
5,3253.92529296875,1859.673828125
3,614.67529296875,1499.062255859375
43,3210.85498046875,1496.5037841796875
4,2866.857421875,1434.060791015625
23,2249.12841796875,1248.595703125
20,466.0,1041.5
0,1603.48974609375,875.4959716796875
36,274.252685546875,857.42578125
47,3493.03369140625,812.8087158203125
28,2035.524658203125,754.686767578125
30,884.9537353515625,365.12451171875
42,321.0193786621094,280.6698608398437
33,359.3544921875,142.32177734375
34,2960.501220703125,2653.111328125
21,2886.503662109375,2437.25927734375
15,2703.459716796875,2332.671875
43,3227.48388671875,1490.7310791015625
4,2866.76806640625,1434.033447265625
23,2248.951416015625,1248.13232421875
0,1603.833984375,874.8495483398438
36,275.26666259765625,856.8271484375
47,3490.251953125,792.3353881835938
30,887.8272705078125,369.32513427734375
42,321.22283935546875,280.7369384765625
34,2960.36376953125,2653.411865234375
15,2703.47412109375,2332.833984375
43,3247.3935546875,1481.30517578125
23,2248.77685546875,1248.399169921875
20,462.5,1069.5
0,1603.7008056640625,874.8445434570312
36,274.52655029296875,857.714111328125
47,3489.91259765625,785.6634521484375
30,894.3427734375,372.7962646484375
42,321.20556640625,280.7188720703125
21,2885.87060546875,2437.576416015625
15,2703.40087890625,2332.64453125
5,3253.74072265625,1859.8187255859373
43,3269.389892578125,1472.832763671875
20,465.027587890625,1075.9482421875
0,1603.7177734375,874.8457641601562
36,274.6756286621094,857.5357055664062
47,3486.212890625,787.5659790039062
28,2035.196044921875,754.219482421875
30,904.8616943359376,370.81646728515625
42,321.22222900390625,280.7059020996094
34,2960.145263671875,2650.83544921875
21,2886.4189453125,2437.133544921875
15,2703.490234375,2332.51416015625
43,3292.203125,1463.7706298828125
4,2866.57470703125,1433.95654296875
23,2249.05859375,1248.28173828125
0,1603.34130859375,875.49853515625
36,274.6041259765625,857.57958984375
47,3484.40966796875,783.7389526367188
30,907.825927734375,371.4490356445313
42,321.2461853027344,280.70465087890625
34,2960.04052734375,2651.00927734375
21,2886.515625,2437.622314453125
15,2703.47119140625,2332.78857421875
5,3253.46923828125,1859.5531005859373
3,612.98046875,1492.252685546875
43,3309.314453125,1455.7640380859375
4,2866.572998046875,1433.6494140625
23,2248.775634765625,1248.4169921875
20,469.5,1102.0
0,1603.33837890625,874.6121826171875
36,274.14288330078125,858.3543701171875
47,3479.940673828125,783.56201171875
28,2035.5400390625,754.3017578125
30,902.7815551757812,372.0177001953125
42,321.2226257324219,280.6493225097656
33,347.322265625,160.01470947265625
34,2960.362548828125,2651.1552734375
21,2886.03857421875,2437.68359375
15,2703.41845703125,2332.793701171875
43,3318.025390625,1450.07470703125
0,1602.8524169921875,875.35400390625
36,273.69049072265625,858.319580078125
47,3479.806884765625,775.6300048828125
28,2034.951416015625,754.0728759765625
30,904.2059326171876,369.8516540527344
42,321.176513671875,280.65399169921875
34,2959.9912109375,2650.902099609375
21,2886.3212890625,2437.28515625
15,2703.257568359375,2332.58837890625
3,613.6094970703125,1497.00244140625
43,3353.3740234375,1445.818115234375
0,1603.3134765625,875.5111083984375
36,274.1069030761719,858.3626708984375
47,3482.77392578125,764.3172607421875
28,2035.074951171875,754.3546142578125
30,907.3260498046876,376.1869201660156
42,321.1716003417969,280.6268310546875
34,2960.339111328125,2651.0517578125
21,2886.41455078125,2437.20166015625
15,2703.46630859375,2332.712890625
3,615.9017333984375,1499.69677734375
23,2248.68505859375,1248.514892578125
0,1603.226806640625,874.6893310546875
36,274.2572021484375,858.2537841796875
47,3490.50830078125,766.467041015625
30,909.4552001953124,377.3439636230469
42,319.5273132324219,279.76904296875
34,2961.12109375,2650.7783203125
15,2703.615234375,2332.6337890625
5,3254.1201171875,1859.762939453125
3,617.2901000976562,1503.39404296875
43,3443.93896484375,1438.516357421875
4,2866.99853515625,1433.701171875
0,1603.4063720703125,874.65283203125
36,274.1981811523437,858.095703125
47,3489.765625,765.2551879882812
28,2035.3702392578125,754.4453125
30,913.0,377.5
34,2960.09033203125,2650.759765625
21,2886.07470703125,2437.220703125
15,2703.451171875,2332.55126953125
5,3253.33251953125,1859.404052734375
3,615.2381591796875,1502.859619140625
43,3461.02978515625,1445.11474609375
4,2866.970703125,1433.526123046875
23,2249.090576171875,1248.0853271484375
20,486.4842834472656,1152.14599609375
0,1602.893310546875,875.3895263671875
28,2035.1004638671875,754.713134765625
47,3494.0078125,756.47705078125
30,907.2686767578124,382.2613525390625
21,2886.47705078125,2437.208984375
15,2703.49755859375,2332.69580078125
3,617.2626342773438,1505.28759765625
43,3442.50048828125,1449.40380859375
4,2867.02294921875,1433.430908203125
23,2248.7177734375,1248.8974609375
0,1603.44140625,875.41845703125
47,3491.189453125,738.2561645507812
30,906.30322265625,382.9314575195313
34,2960.82958984375,2650.78125
15,2703.43603515625,2332.55419921875
3,617.5328369140625,1502.6298828125
0,1603.4346923828125,875.5213012695312
36,273.7108154296875,859.4405517578125
28,2035.573486328125,754.3775024414062
47,3492.58154296875,722.9120483398438
30,904.5039672851562,384.0528564453125
33,328.26580810546875,173.640869140625
34,2960.118408203125,2650.78515625
21,2886.3037109375,2437.3505859375
15,2703.412841796875,2332.51708984375
3,617.392333984375,1502.81396484375
43,3390.07080078125,1455.837890625
4,2867.052001953125,1433.4609375
0,1603.239013671875,874.672607421875
36,274.0078125,859.3197021484375
28,2035.156982421875,754.40771484375
47,3492.266845703125,701.7952270507812
30,902.8021240234376,386.25732421875
34,2960.488037109375,2650.96728515625
15,2703.48486328125,2332.70703125
5,3253.78076171875,1859.51953125
3,619.5484619140625,1503.98583984375
43,3373.079345703125,1454.41552734375
4,2866.90869140625,1433.446044921875
23,2248.67919921875,1248.841796875
20,502.0,1208.5
0,1603.052001953125,875.6981201171875
36,273.83642578125,859.4390258789062
47,3492.43017578125,700.9090576171875
30,902.5565185546876,387.5038146972656
34,2960.1376953125,2650.849609375
21,2885.81494140625,2437.55078125
15,2703.218994140625,2332.88671875
3,619.1541748046875,1504.6063232421875
43,3357.9814453125,1454.419189453125
4,2866.940673828125,1433.646240234375
20,506.0,1218.5
0,1602.70458984375,875.535400390625
36,273.47979736328125,859.8560791015625
28,2035.293212890625,754.5540771484375
